"","Name","Publisher","Developer","Puntajes Cr?ticos","n? criticas criticos","Puntajes usuarios","n? cr?ticas usuarios"
"614","Game Party 2","Midway Games","Midway","Puntajes Cr?ticos bajo","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"615","Mortal Kombat: Deception","Midway Games","Midway","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"616","NBA 2K17","Take-Two Interactive","Visual Concepts","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"617","Toy Story Mania!","Disney Interactive Studios","Papaya Studios","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"618","Star Fox Adventures","Nintendo","Rare Ltd.","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"619","Madden NFL 25","Electronic Arts","EA Sports","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"620","Dynasty Warriors 3","THQ","Omega Force","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"621","Madden NFL 06","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"622","Shrek 2","Activision","Luxoflux, Inc.","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"623","The Legend of Dragoon","Sony Computer Entertainment","SCEI","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"624","Star Wars: The Force Unleashed","LucasArts","Krome Studios","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"625","NBA Live 2002","Electronic Arts","Electronic Arts","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"626","Just Cause 3","Square Enix","Avalanche Studios","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"627","Chrono Cross","SquareSoft","SquareSoft","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"628","Jak 3","Sony Computer Entertainment","Naughty Dog","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"629","Kingdom Hearts: Chain of Memories","Square Enix","Jupiter Corporation","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"630","Max Payne 3","Take-Two Interactive","Rockstar Studios","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"631","LEGO Marvel Super Heroes","Warner Bros. Interactive Entertainment","TT Games","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"632","Phineas and Ferb","Disney Interactive Studios","Altron","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"633","NCAA Football 06","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"634","Rayman Raving Rabbids 2","Ubisoft","Ubisoft Montpellier","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"635","Kirby: Triple Deluxe","Nintendo","HAL Labs","Puntajes Cr?ticos alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"636","Sonic Classic Collection","Sega","Creative Assembly","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"637","inFAMOUS 2","Sony Computer Entertainment","Sucker Punch","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"638","World of Warcraft: Mists of Pandaria","Activision","Blizzard Entertainment","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"639","Namco Museum","Namco Bandai Games","Mass Media","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"640","The Sims: Hot Date","Electronic Arts","Maxis","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"641","Demon's Souls","Namco Bandai Games","From Software","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"642","The Orange Box","Electronic Arts","Valve Software","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"643","DDRMAX2: Dance Dance Revolution","Konami Digital Entertainment","Konami","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"644","Virtua Fighter 4","Sega","Sega AM2","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"645","Mafia III","Take-Two Interactive","Hangar 13","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"646","Sly 2: Band of Thieves","Sony Computer Entertainment","Sucker Punch","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"647","Sonic Advance 2","Sega","Dimps Corporation","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"648","Madden NFL 07","Electronic Arts","EA Tiburon","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"649","NBA 2K11","Take-Two Interactive","Visual Concepts","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"650","Forza Motorsport 6","Microsoft Game Studios","Turn 10","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"651","The Evil Within","Bethesda Softworks","Tango Gameworks","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"652","Metroid Prime 3: Corruption","Nintendo","Retro Studios","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"653","Midnight Club II","Take-Two Interactive","Rockstar San Diego","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"654","The Getaway: Black Monday","Sony Computer Entertainment","SCEE London Studio","Puntajes Cr?ticos intermedio","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"655","50 Cent: Bulletproof","Vivendi Games","Genuine Games","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"656","Dead or Alive 3","Microsoft Game Studios","Team Ninja","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"657","Dragon Quest Monsters: Joker","Square Enix","TOSE","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"658","LEGO Star Wars III: The Clone Wars","LucasArts","Traveller's Tales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"659","UFC 2009 Undisputed","THQ","THQ","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"660","The SpongeBob SquarePants Movie","THQ","Heavy Iron Studios","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"661","Golden Sun","Nintendo","Camelot Software Planning","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"662","Def Jam: Fight for NY","Electronic Arts","Aki Corp.","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"663","Tom Clancy's Ghost Recon","Ubisoft","Red Storm Entertainment","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"664","State of Emergency","Take-Two Interactive","VIS Entertainment","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"665","The Urbz: Sims in the City","Electronic Arts","Maxis","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"666","Star Wars: Starfighter","Activision","LucasArts","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"667","Star Wars: Battlefront","Activision","Pandemic Studios","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"668","Madden NFL 17","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"669","Just Cause 2","Square Enix","Avalanche Studios","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"670","FIFA Soccer 08","Electronic Arts","EA Canada","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"671","Crackdown","Microsoft Game Studios","Realtime Worlds","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"672","Wii Party U","Nintendo","Nd Cube","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"673","Dance Dance Revolution X","Konami Digital Entertainment","Konami","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"674","Xenosaga Episode I: Der Wille zur Macht","Namco Bandai Games","Monolith Soft","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"675","Kinect Star Wars","Microsoft Game Studios","Terminal Reality","Puntajes Cr?ticos intermedio","n? criticas criticos intermedio","Puntajes usuarios bajo","n? cr?ticas usuarios muy bajo"
"676","Dragon's Dogma","Capcom","Capcom","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"677","The Order: 1886","Sony Computer Entertainment","Ready at Dawn, SCE Santa Monica","Puntajes Cr?ticos alto","n? criticas criticos muy alto","Puntajes usuarios alto","n? cr?ticas usuarios bajo"
"678","SSX Tricky","Electronic Arts","EA Canada","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"679","Knack","Sony Computer Entertainment Europe","SCE Japan Studio","Puntajes Cr?ticos intermedio","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"680","Dragon Quest VI: Realms of Revelation","Nintendo","ArtePiazza","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"681","Crash Bandicoot: The Huge Adventure","Universal Interactive","Vicarious Visions","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"682","Hitman: Absolution","Square Enix","Io Interactive","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"683","The Crew","Ubisoft","Ubisoft Reflections, Ivory Tower","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"684","NBA 2K15","Take-Two Interactive","Visual Concepts","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"685","Madden NFL 2005","Electronic Arts","EA Tiburon","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"686","Star Ocean: Till The End of Time","Ubisoft","Tri-Ace","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"687","Call of Duty: Modern Warfare 3","Activision","Infinity Ward, Sledgehammer Games","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios bajo","n? cr?ticas usuarios intermedio"
"688","Dishonored","Bethesda Softworks","Arkane Studios","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"689","The Beatles: Rock Band","MTV Games","Harmonix Music Systems","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"690","Ace Combat 5: The Unsung War","Sony Computer Entertainment Europe","Namco","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"691","Need for Speed Underground","Electronic Arts","Electronic Arts","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"692","Deal or No Deal","Mindscape","Artefacts Studio","Puntajes Cr?ticos muy bajo","n? criticas criticos muy bajo","Puntajes usuarios muy bajo","n? cr?ticas usuarios muy bajo"
"693","Portal 2","Valve","Valve Software","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"694","NCAA Football 07","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"695","The Sims 3: Late Night Expansion Pack","Electronic Arts","The Sims Studio","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"696","No Man's Sky","Hello Games","Hello Games","Puntajes Cr?ticos alto","n? criticas criticos muy alto","Puntajes usuarios intermedio","n? cr?ticas usuarios intermedio"
"697","SOCOM 3: U.S. Navy SEALs","Sony Computer Entertainment","Zipper Interactive","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"698","BioShock Infinite","Take-Two Interactive","Irrational Games","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"699","Harry Potter and the Sorcerer's Stone","Electronic Arts","Griptonite Games","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"700","Dragon Ball Z: The Legacy of Goku","Infogrames","Webfoot Technologies","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"701","Resident Evil 4","Capcom","Capcom","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"702","Need For Speed: Undercover","Electronic Arts","EA Vancouver","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"703","Sonic Colors","Sega","Sonic Team","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"704","Saints Row 2","THQ","Volition Inc.","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"705","Sid Meier's Civilization V","Take-Two Interactive","Firaxis Games","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios bajo"
"706","The Sims: Superstar","Electronic Arts","Maxis","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"707","Metroid Fusion","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"708","We Ski","Namco Bandai Games","Bandai Namco Games","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"709","Star Wars Battlefront: Renegade Squadron","LucasArts","Rebellion","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"710","SSX 3","Electronic Arts","EA Canada","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"711","Madden NFL 2001","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"712","Star Wars: Battlefront II","Activision","Pandemic Studios","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"713","Tony Hawk's Pro Skater 3","Activision","Shaba Games","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"714","Dragon Age: Origins","Electronic Arts","BioWare","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"715","Spy Hunter","Midway Games","Paradigm Entertainment","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"716","NCAA Football 2004","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"717","Fight Night Round 3","Electronic Arts","EA Chicago","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"718","StarCraft II: Heart of the Swarm","Activision","Blizzard Entertainment","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"719","SpongeBob SquarePants: Battle for Bikini Bottom","THQ","Heavy Iron Studios","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"720","Until Dawn","Sony Computer Entertainment Europe","SuperMassive Games","Puntajes Cr?ticos alto","n? criticas criticos muy alto","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
"721","Big Beach Sports","THQ","HB Studios Multimedia","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"722","SSX","Electronic Arts","EA Sports Big","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"723","Shaun White Snowboarding: Road Trip","Ubisoft","Ubisoft","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"724","NBA Ballers","Midway Games","Midway","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"725","Saints Row IV","Deep Silver","Volition Inc.","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"726","NBA Live 2003","Electronic Arts","EA Canada","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"727","LEGO Batman 2: DC Super Heroes","Warner Bros. Interactive Entertainment","TT Games","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"728","Dragon Ball Z: Budokai Tenkaichi","Atari","Spike","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"729","Dark Souls III","Namco Bandai Games","From Software","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"730","Kirby's Return to Dreamland","Nintendo","HAL Labs","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"731","Mario Party 6","Nintendo","Hudson Soft","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"732","Star Wars The Clone Wars: Lightsaber Duels","LucasArts","Krome Studios","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"733","Need for Speed Carbon","Electronic Arts","EA Canada","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"734","Heavenly Sword","Sony Computer Entertainment","Ninja Theory","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"735","MySims","Electronic Arts","EA Redwood Shores","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"736","Army of Two","Electronic Arts","EA Montreal","Puntajes Cr?ticos alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"737","Tiger Woods PGA Tour 2003","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"738","Prince of Persia: Warrior Within","Ubisoft","Ubisoft Montreal","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"739","Far Cry 4","Ubisoft","Ubisoft Montreal","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"740","ESPN NFL 2K5","Sega","Visual Concepts","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"741","Beyond: Two Souls","Sony Computer Entertainment","Quantic Dream","Puntajes Cr?ticos alto","n? criticas criticos muy alto","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
"742","Pikmin","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"743","Tiger Woods PGA Tour 2004","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"744","Call of Duty: Black Ops","Activision","Treyarch","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"745","Ape Escape","Sony Computer Entertainment","SCEI","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"746","NCAA Football 2005","Electronic Arts","EA Tiburon","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"747","Max Payne 3","Take-Two Interactive","Rockstar Studios","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"748","Viva Pinata","Microsoft Game Studios","Rare Ltd.","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"749","Kinectimals","Microsoft Game Studios","Frontier Developments","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios bajo","n? cr?ticas usuarios muy bajo"
"750","Kirby Air Ride","Nintendo","HAL Labs","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"751","LEGO Marvel Super Heroes","Warner Bros. Interactive Entertainment","TT Games","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"752","Rock Band","Electronic Arts","Harmonix Music Systems","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"753","Dragon Quest IV: Chapters of the Chosen","Square Enix","ArtePiazza","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"754","NFL Street 2","Electronic Arts","EA Tiburon","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"755","Super Mario Strikers","Nintendo","Next Level Games","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"756","Rage","Bethesda Softworks","id Software","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"757","Mario Hoops 3 on 3","Nintendo","Square Enix","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"758","Just Cause 2","Square Enix","Avalanche Studios","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"759","Silent Hill","Konami Digital Entertainment","KCET","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"760","Sonic Heroes","Sega","Sonic Team","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"761","ESPN NBA 2K5","Global Star","Visual Concepts","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"762","Diablo","Activision","Blizzard Entertainment","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"763","Far Cry 2","Ubisoft","Ubisoft Montreal","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"764","The Legend of Zelda: Twilight Princess","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"765","Pro Evolution Soccer 2008","Konami Digital Entertainment","Konami","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"766","Pokemon Battle Revolution","Nintendo","Genius Sonority Inc.","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
