"","Name","Publisher","Developer","Puntajes Cr?ticos","Puntajes usuarios"
"33","Grand Theft Auto IV","Take-Two Interactive","Rockstar North","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"34","Gran Turismo","Sony Computer Entertainment","Polyphony Digital","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"35","Super Mario 3D Land","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"36","Gran Turismo 5","Sony Computer Entertainment","Polyphony Digital","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"37","Call of Duty: Modern Warfare 2","Activision","Infinity Ward","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"38","Grand Theft Auto IV","Take-Two Interactive","Rockstar North","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"39","Call of Duty: Ghosts","Activision","Infinity Ward","Puntajes Cr?ticos alto","Puntajes usuarios bajo"
"40","Just Dance 3","Ubisoft","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"41","New Super Mario Bros. 2","Nintendo","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"42","Halo: Reach","Microsoft Game Studios","Bungie","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"43","Final Fantasy VII","Sony Computer Entertainment","SquareSoft","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"44","Halo 4","Microsoft Game Studios","343 Industries","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"45","Gran Turismo 2","Sony Computer Entertainment","Polyphony Digital","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"46","Just Dance 2","Ubisoft","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"47","Call of Duty: Ghosts","Activision","Infinity Ward","Puntajes Cr?ticos alto","Puntajes usuarios bajo"
"48","Call of Duty 4: Modern Warfare","Activision","Infinity Ward","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"49","Animal Crossing: New Leaf","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"50","Mario Party DS","Nintendo","Hudson Soft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"51","The Elder Scrolls V: Skyrim","Bethesda Softworks","Bethesda Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"52","FIFA 16","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"53","Halo 2","Microsoft Game Studios","Bungie Software","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"54","Wii Party","Nintendo","Nd Cube","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"55","Mario Party 8","Nintendo","Hudson","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"56","FIFA Soccer 13","Electronic Arts","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"57","Final Fantasy X","Sony Computer Entertainment","SquareSoft","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"58","The Sims 3","Electronic Arts","The Sims Studio","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"59","Final Fantasy VIII","SquareSoft","SquareSoft","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"60","Pokémon Platinum Version","Nintendo","Game Freak","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"61","Grand Theft Auto: Liberty City Stories","Take-Two Interactive","Rockstar Leeds","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"62","Call of Duty: Advanced Warfare","Activision","Sledgehammer Games","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"63","FIFA 17","Electronic Arts","EA Sports, EA Vancouver","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"64","Super Mario Galaxy 2","Nintendo","Nintendo EAD Tokyo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"65","Call of Duty: World at War","Activision","Treyarch","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"66","Battlefield 3","Electronic Arts","EA DICE","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"67","Need for Speed Underground","Electronic Arts","EA Black Box","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"68","Just Dance","Ubisoft","Ubisoft Paris","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"69","Battlefield 3","Electronic Arts","EA DICE","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"70","Fallout 4","Bethesda Softworks","Bethesda Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"71","Tekken 3","Sony Computer Entertainment","Namco","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"72","The Legend of Zelda: Twilight Princess","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"73","Crash Bandicoot 3: Warped","Sony Computer Entertainment","Naughty Dog","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"74","Mario Kart 8","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"75","Super Smash Bros. Melee","Nintendo","HAL Labs","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"76","Need for Speed Underground 2","Electronic Arts","EA Canada","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"77","Medal of Honor: Frontline","Electronic Arts","EA LA","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"78","Just Dance 4","Ubisoft","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
