"","Name","Publisher","Developer","Puntajes Cr?ticos","Puntajes usuarios"
"690","Ace Combat 5: The Unsung War","Sony Computer Entertainment Europe","Namco","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"691","Need for Speed Underground","Electronic Arts","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"692","Deal or No Deal","Mindscape","Artefacts Studio","Puntajes Cr?ticos muy bajo","Puntajes usuarios muy bajo"
"693","Portal 2","Valve","Valve Software","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"694","NCAA Football 07","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"695","The Sims 3: Late Night Expansion Pack","Electronic Arts","The Sims Studio","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"696","No Man's Sky","Hello Games","Hello Games","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"697","SOCOM 3: U.S. Navy SEALs","Sony Computer Entertainment","Zipper Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"698","BioShock Infinite","Take-Two Interactive","Irrational Games","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"699","Harry Potter and the Sorcerer's Stone","Electronic Arts","Griptonite Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"700","Dragon Ball Z: The Legacy of Goku","Infogrames","Webfoot Technologies","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"701","Resident Evil 4","Capcom","Capcom","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"702","Need For Speed: Undercover","Electronic Arts","EA Vancouver","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"703","Sonic Colors","Sega","Sonic Team","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"704","Saints Row 2","THQ","Volition Inc.","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"705","Sid Meier's Civilization V","Take-Two Interactive","Firaxis Games","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"706","The Sims: Superstar","Electronic Arts","Maxis","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"707","Metroid Fusion","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"708","We Ski","Namco Bandai Games","Bandai Namco Games","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"709","Star Wars Battlefront: Renegade Squadron","LucasArts","Rebellion","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"710","SSX 3","Electronic Arts","EA Canada","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"711","Madden NFL 2001","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"712","Star Wars: Battlefront II","Activision","Pandemic Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"713","Tony Hawk's Pro Skater 3","Activision","Shaba Games","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"714","Dragon Age: Origins","Electronic Arts","BioWare","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"715","Spy Hunter","Midway Games","Paradigm Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"716","NCAA Football 2004","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"717","Fight Night Round 3","Electronic Arts","EA Chicago","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"718","StarCraft II: Heart of the Swarm","Activision","Blizzard Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"719","SpongeBob SquarePants: Battle for Bikini Bottom","THQ","Heavy Iron Studios","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"720","Until Dawn","Sony Computer Entertainment Europe","SuperMassive Games","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"721","Big Beach Sports","THQ","HB Studios Multimedia","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"722","SSX","Electronic Arts","EA Sports Big","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"723","Shaun White Snowboarding: Road Trip","Ubisoft","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"724","NBA Ballers","Midway Games","Midway","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"725","Saints Row IV","Deep Silver","Volition Inc.","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"726","NBA Live 2003","Electronic Arts","EA Canada","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"727","LEGO Batman 2: DC Super Heroes","Warner Bros. Interactive Entertainment","TT Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"728","Dragon Ball Z: Budokai Tenkaichi","Atari","Spike","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"729","Dark Souls III","Namco Bandai Games","From Software","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"730","Kirby's Return to Dreamland","Nintendo","HAL Labs","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"731","Mario Party 6","Nintendo","Hudson Soft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"732","Star Wars The Clone Wars: Lightsaber Duels","LucasArts","Krome Studios","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"733","Need for Speed Carbon","Electronic Arts","EA Canada","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"734","Heavenly Sword","Sony Computer Entertainment","Ninja Theory","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"735","MySims","Electronic Arts","EA Redwood Shores","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"736","Army of Two","Electronic Arts","EA Montreal","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"737","Tiger Woods PGA Tour 2003","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"738","Prince of Persia: Warrior Within","Ubisoft","Ubisoft Montreal","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"739","Far Cry 4","Ubisoft","Ubisoft Montreal","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"740","ESPN NFL 2K5","Sega","Visual Concepts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"741","Beyond: Two Souls","Sony Computer Entertainment","Quantic Dream","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"742","Pikmin","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"743","Tiger Woods PGA Tour 2004","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"744","Call of Duty: Black Ops","Activision","Treyarch","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"745","Ape Escape","Sony Computer Entertainment","SCEI","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"746","NCAA Football 2005","Electronic Arts","EA Tiburon","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"747","Max Payne 3","Take-Two Interactive","Rockstar Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"748","Viva Pinata","Microsoft Game Studios","Rare Ltd.","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"749","Kinectimals","Microsoft Game Studios","Frontier Developments","Puntajes Cr?ticos alto","Puntajes usuarios bajo"
"750","Kirby Air Ride","Nintendo","HAL Labs","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"751","LEGO Marvel Super Heroes","Warner Bros. Interactive Entertainment","TT Games","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"752","Rock Band","Electronic Arts","Harmonix Music Systems","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"753","Dragon Quest IV: Chapters of the Chosen","Square Enix","ArtePiazza","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"754","NFL Street 2","Electronic Arts","EA Tiburon","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"755","Super Mario Strikers","Nintendo","Next Level Games","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"756","Rage","Bethesda Softworks","id Software","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"757","Mario Hoops 3 on 3","Nintendo","Square Enix","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"758","Just Cause 2","Square Enix","Avalanche Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"759","Silent Hill","Konami Digital Entertainment","KCET","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"760","Sonic Heroes","Sega","Sonic Team","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"761","ESPN NBA 2K5","Global Star","Visual Concepts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"762","Diablo","Activision","Blizzard Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"763","Far Cry 2","Ubisoft","Ubisoft Montreal","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"764","The Legend of Zelda: Twilight Princess","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"765","Pro Evolution Soccer 2008","Konami Digital Entertainment","Konami","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"766","Pokemon Battle Revolution","Nintendo","Genius Sonority Inc.","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"767","Kingdom Hearts 3D: Dream Drop Distance","Square Enix","Square Enix","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"768","Dance Dance Revolution: Hottest Party 2","Konami Digital Entertainment","Konami","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"769","SoulCalibur IV","Ubisoft","Namco","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"770","Sonic Generations","Sega","Sega","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"771","Spyro 2: Season of Flame","Vivendi Games","Digital Eclipse","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"772","Mario Party 10","Nintendo","Nintendo, Nd Cube","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"773","Devil May Cry 4","Capcom","Capcom","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"774","Dead Rising 3","Microsoft Game Studios","Capcom Vancouver","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"775","NCAA Football 2002","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"776","Gears of War: Judgment","Microsoft Game Studios","Epic Games","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"777","Watch Dogs","Ubisoft","Ubisoft Montreal","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"778","Guitar Hero: On Tour Decades","Activision","Vicarious Visions","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"779","Madden NFL 15","Electronic Arts","EA Sports","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"780","Conflict: Desert Storm","Gotham Games","Pivotal Games","Puntajes Cr?ticos intermedio","Puntajes usuarios muy alto"
"781","Mario Party 7","Nintendo","Hudson","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"782","Dragon Quest V: Hand of the Heavenly Bride","Square Enix","ArtePiazza","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"783","Smuggler's Run","Take-Two Interactive","Rockstar San Diego","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"784","Fight Night Round 3","Electronic Arts","EA Chicago","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"785","Need for Speed: Most Wanted","Electronic Arts","EA Canada","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"786","Carnival Games: Mini Golf","Take-Two Interactive","Cat Daddy Games","Puntajes Cr?ticos bajo","Puntajes usuarios intermedio"
"787","Pokemon Mystery Dungeon: Explorers of Sky","Nintendo","ChunSoft","Puntajes Cr?ticos intermedio","Puntajes usuarios muy alto"
"788","LEGO Pirates of the Caribbean: The Video Game","Disney Interactive Studios","Traveller's Tales","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"789","Stuntman","Atari","Reflections Interactive","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"790","Tom Clancy's Rainbow Six 3","Ubisoft","Ubisoft","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"791","LEGO Harry Potter: Years 1-4","Warner Bros. Interactive Entertainment","Traveller's Tales","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"792","Spider-Man 2: Enter: Electro","Activision","Vicarious Visions","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"793","Guitar Hero 5","Activision","Vicarious Visions","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"794","Wolfenstein: The New Order","Bethesda Softworks","MachineGames","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"795","Mafia II","Take-Two Interactive","2K Czech","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"796","BioShock 2","Take-Two Interactive","2K Marin","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"797","Dark Cloud","Sony Computer Entertainment","Level 5","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"798","Warcraft III: The Frozen Throne","Activision","Blizzard Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"799","Active Life: Outdoor Challenge","Atari","h.a.n.d. Inc.","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"800","Tom Clancy's Ghost Recon Advanced Warfighter","Ubisoft","Ubisoft Paris","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"801","MVP Baseball 2005","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"802","Uncharted: Golden Abyss","Sony Computer Entertainment","Naughty Dog, Sony Bend","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"803","Go Vacation","Namco Bandai Games","Namco Bandai Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"804","Pro Evolution Soccer 2013","Konami Digital Entertainment","Konami","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"805","Dishonored","Bethesda Softworks","Arkane Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"806","Mario Golf: Toadstool Tour","Nintendo","Camelot Software Planning","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"807","Call of Duty: Black Ops II","Activision","Treyarch","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"808","Resident Evil: The Umbrella Chronicles","Capcom","Cavia Inc.","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"809","The Simpsons Skateboarding","Electronic Arts","The Code Monkeys","Puntajes Cr?ticos bajo","Puntajes usuarios intermedio"
"810","Donkey Kong Country: Tropical Freeze","Nintendo","Retro Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"811","Fight Night Round 4","Electronic Arts","EA Canada","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"812","Super Monkey Ball 2","Atari","Amusement Vision","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"813","Pac-Man World 2","Namco Bandai Games","Namco","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"814","MySims Kingdom","Electronic Arts","EA Redwood Shores","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"815","Dead Space 2","Electronic Arts","Visceral Games","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"816","The Simpsons Game","Electronic Arts","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"817","The Simpsons Game","Electronic Arts","Griptonite Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"818","Football Manager 2012","Sega","Sports Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"819","Ni no Kuni: Wrath of the White Witch","Namco Bandai Games","Level 5","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"820","SoulCalibur II","Namco Bandai Games","Namco","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"821","Call of Duty 3","Activision","Treyarch","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"822","Tokyo Xtreme Racer Zero","Crave Entertainment","Genki","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"823","Red Faction II","THQ","Volition Inc.","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"824","Madden NFL 2001","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"825","Star Wars: The Force Unleashed II","LucasArts","LucasArts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"826","Rock Band 2","MTV Games","Harmonix Music Systems","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"827","Final Fantasy: Crystal Chronicles","Nintendo","Square Enix","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"828","Medal of Honor: Frontline","Electronic Arts","EA LA","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"829","Madden NFL 09","Electronic Arts","EA Tiburon","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"830","Dead Rising 2","Capcom","Blue Castle Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"831","Mafia II","Take-Two Interactive","2K Czech","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"832","Batman: Arkham Knight","Warner Bros. Interactive Entertainment","Rocksteady Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"833","Dirge of Cerberus: Final Fantasy VII","Square Enix","Square Enix","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"834","Sonic Rivals 2","Sega","Backbone Entertainment","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"835","Resistance 3","Sony Computer Entertainment","Insomniac Games","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"836","Drawn To Life: SpongeBob SquarePants Edition","THQ","Altron","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"837","007: Quantum of Solace","Activision","Treyarch","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"838","Major League Baseball 2K5","Take-Two Interactive","Kush Games","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"839","Fight Night 2004","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"840","LEGO Star Wars III: The Clone Wars","LucasArts","Traveller's Tales","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"841","Tom Clancy's Splinter Cell: Pandora Tomorrow","Ubisoft","Ubisoft Shanghai","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"842","Call of Duty Black Ops: Declassified","Activision","Nihilistic","Puntajes Cr?ticos bajo","Puntajes usuarios intermedio"
"843","Tom Clancy's Ghost Recon: Future Soldier","Ubisoft","Ubisoft Paris","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"844","Fight Night Round 3","Electronic Arts","EA Chicago","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"845","Xenogears","SquareSoft","SquareSoft","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"846","Super Scribblenauts","Warner Bros. Interactive Entertainment","5TH Cell","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"847","Super Monkey Ball","Atari","Amusement Vision","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"848","SoulCalibur IV","Ubisoft","Namco","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"849","Mario Superstar Baseball","Nintendo","Namco","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"850","Battlefield: Bad Company","Electronic Arts","EA DICE","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"851","Homefront","THQ","Kaos Studios","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"852","Onimusha 3: Demon Siege","Capcom","Capcom","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"853","Red Dead Revolver","Take-Two Interactive","Rockstar San Diego","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"854","Resident Evil: Outbreak","Capcom","Capcom","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"855","Mass Effect 2","Electronic Arts","BioWare","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"856","LEGO Battles: Ninjago","Warner Bros. Interactive Entertainment","Hellbent Games","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"857","NBA 2K14","Take-Two Interactive","Visual Concepts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"858","SingStar Pop","Sony Computer Entertainment","SCEE London Studio","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"859","Disney Infinity","Disney Interactive Studios","Avalanche Software","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"860","My Word Coach","Ubisoft","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"861","Tiger Woods PGA Tour 2005","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"862","NCAA Football 2003","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"863","Star Wars: The Force Unleashed II","LucasArts","LucasArts","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"864","Frogger 2: Swampy's Revenge","Hasbro Interactive","Blitz Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"865","WWE SmackDown vs Raw 2008","THQ","Yuke's","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"866","Kinect Joy Ride","Microsoft Game Studios","BigPark","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"867","Smarty Pants","Electronic Arts","Planet Moon Studios","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"868","Classic NES Series: Super Mario Bros.","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"869","Anno 2070","Ubisoft","Blue Byte, Related Designs","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"870","Hasbro Family Game Night","Electronic Arts","EA Bright Light","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"871","Sonic Rivals","Sega","Backbone Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"872","BioShock","Take-Two Interactive","Digital Extremes, 2K Marin","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"873","Mass Effect 3","Electronic Arts","BioWare","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"874","Cabela's Big Game Hunter","Activision","Sand Grain Studios","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"875","SimCity (2013)","Electronic Arts","Maxis","Puntajes Cr?ticos alto","Puntajes usuarios bajo"
"876","The Legend of Zelda: The Minish Cap","Nintendo","Flagship","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"877","NFL Street","Electronic Arts","EA Tiburon","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"878","Dead Space 2","Electronic Arts","Visceral Games","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"879","Tiger Woods PGA Tour 09 All-Play","Electronic Arts","EA Tiburon","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"880","Metal Gear Rising: Revengeance","Konami Digital Entertainment","PlatinumGames","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"881","Rayman Raving Rabbids","Ubisoft","Ubisoft Montpellier","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"882","Dragon Quest Monsters: Joker 2","Square Enix","TOSE","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"883","UFC Undisputed 2010","THQ","Yuke's","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"884","Medal of Honor: Warfighter","Electronic Arts","Danger Close","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"885","Sonic's Ultimate Genesis Collection","Sega","Backbone Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"886","Diablo III","Activision","Blizzard Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"887","Twisted Metal: Black","Sony Computer Entertainment","Incognito Inc.","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"888","NASCAR 2005: Chase for the Cup","Electronic Arts","EA Tiburon","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"889","Fight Night Round 4","Electronic Arts","EA Canada","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"890","Spider-Man: The Movie","Activision","Treyarch","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"891","LEGO Star Wars II: The Original Trilogy","LucasArts","Traveller's Tales","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"892","Dead Space","Electronic Arts","EA Redwood Shores","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"893","LEGO Indiana Jones 2: The Adventure Continues","Activision","Traveller's Tales","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"894","Ridge Racer","Sony Computer Entertainment","Namco","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"895","Sonic Advance 3","THQ","Dimps Corporation","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"896","Colin McRae Rally 3","Codemasters","Codemasters","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"897","Forza Horizon 2","Microsoft Game Studios","Playground Games","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"898","Madden NFL 2002","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"899","Dynasty Warriors 5","Tecmo Koei","Omega Force","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"900","Injustice: Gods Among Us","Warner Bros. Interactive Entertainment","NetherRealm Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"901","Far Cry 2","Ubisoft","Ubisoft Montreal","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"902","Yoshi's New Island","Nintendo","Arzest","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"903","True Crime: Streets of LA","Activision","Luxoflux, Inc.","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"904","Ryse: Son of Rome","Microsoft Game Studios","Crytek","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"905","Mortal Kombat X","Warner Bros. Interactive Entertainment","Warner Bros. Interactive Entertainment, NetherRealm Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"906","Rise of the Tomb Raider","Square Enix","Crystal Dynamics","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"907","Sonic Generations","Sega","Sega, Sonic Team","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"908","Dave Mirra Freestyle BMX 2","Acclaim Entertainment","Z-Axis, Ltd.","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"909","Bakugan: Battle Brawlers","Activision","Now Production","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"910","LEGO Indiana Jones: The Original Adventures","LucasArts","Traveller's Tales","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"911","Deus Ex: Human Revolution","Square Enix","Eidos Montreal","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"912","Final Fantasy XII: Revenant Wings","Square Enix","Square Enix, Think and Feel","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"913","Call of Duty: Black Ops","Activision","Treyarch","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"914","Deus Ex: Human Revolution","Square Enix","Eidos Montreal","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"915","Star Wars Knights of the Old Republic II: The Sith Lords","Activision","Obsidian Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"916","The Sims 2","Electronic Arts","Maxis","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"917","Dead Rising 2","Capcom","Blue Castle Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"918","Ridge Racer 7","Namco Bandai Games","Namco Bandai Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"919","Tom Clancy's Ghost Recon 2","Ubisoft","Red Storm Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
