"","X1","Publisher","Is_Fiasco"
"372",372,"Ubisoft",FALSE
"373",373,"Take-Two Interactive",FALSE
"374",374,"Take-Two Interactive",FALSE
"375",375,"Sony Computer Entertainment",FALSE
"376",376,"Activision",FALSE
"377",377,"Ubisoft",FALSE
"378",378,"Electronic Arts",FALSE
"379",379,"Konami Digital Entertainment",FALSE
"380",380,"Activision",TRUE
"381",381,"Electronic Arts",FALSE
"382",382,"Electronic Arts",FALSE
"383",383,"Namco Bandai Games",FALSE
"384",384,"Electronic Arts",FALSE
"385",385,"Electronic Arts",FALSE
"386",386,"Sega",FALSE
"387",387,"Namco Bandai Games",FALSE
"388",388,"Activision",FALSE
"389",389,"THQ",FALSE
"390",390,"Electronic Arts",FALSE
"391",391,"Electronic Arts",FALSE
"392",392,"Electronic Arts",FALSE
"393",393,"Take-Two Interactive",FALSE
"394",394,"Sony Computer Entertainment",FALSE
"395",395,"Activision",FALSE
"396",396,"Take-Two Interactive",FALSE
"397",397,"Electronic Arts",FALSE
"398",398,"Ubisoft",FALSE
"399",399,"Ubisoft",FALSE
"400",400,"Electronic Arts",FALSE
"401",401,"Ubisoft",FALSE
"402",402,"Electronic Arts",FALSE
"403",403,"THQ",FALSE
"404",404,"Take-Two Interactive",FALSE
"405",405,"Electronic Arts",FALSE
"406",406,"Sony Computer Entertainment",FALSE
"407",407,"Electronic Arts",FALSE
"408",408,"Electronic Arts",FALSE
"409",409,"THQ",FALSE
"410",410,"Microsoft Game Studios",FALSE
"411",411,"Ubisoft",FALSE
"412",412,"Take-Two Interactive",FALSE
"413",413,"Electronic Arts",TRUE
"414",414,"Activision",FALSE
"415",415,"Electronic Arts",TRUE
"416",416,"Electronic Arts",FALSE
"417",417,"Electronic Arts",FALSE
"418",418,"Konami Digital Entertainment",FALSE
"419",419,"THQ",FALSE
"420",420,"Electronic Arts",FALSE
"421",421,"Sega",FALSE
"422",422,"Activision",TRUE
"423",423,"Sony Computer Entertainment",FALSE
"424",424,"Electronic Arts",FALSE
"425",425,"Electronic Arts",FALSE
"426",426,"Activision",FALSE
"427",427,"Electronic Arts",FALSE
"428",428,"Ubisoft",TRUE
"429",429,"Activision",FALSE
"430",430,"Sega",FALSE
"431",431,"Activision",FALSE
"432",432,"Namco Bandai Games",FALSE
"433",433,"Ubisoft",FALSE
"434",434,"Electronic Arts",FALSE
"435",435,"Electronic Arts",TRUE
"436",436,"Electronic Arts",FALSE
"437",437,"THQ",FALSE
"438",438,"Electronic Arts",FALSE
"439",439,"Sony Computer Entertainment",FALSE
"440",440,"Electronic Arts",FALSE
"441",441,"Electronic Arts",TRUE
"442",442,"Electronic Arts",FALSE
