"","Platform","Genre","Publisher","Global_Sales","Critic_Score","Rating","Is_Fiasco"
"148","XB","Action","Ubisoft",3.02,93,"T",FALSE
"149","PS3","Shooter","Sony Computer Entertainment",3.01,91,"M",FALSE
"150","X360","Shooter","Ubisoft",3,91,"M",FALSE
"151","X360","Sports","Take-Two Interactive",3,88,"E",FALSE
"152","PC","Misc","Electronic Arts",2.99,82,"T",FALSE
"153","PS2","Sports","Konami Digital Entertainment",2.99,93,"E",FALSE
"154","PC","Role-Playing","Electronic Arts",2.96,85,"T",TRUE
"155","PS2","Platform","Sega",2.96,64,"E",FALSE
"156","PS3","Shooter","Electronic Arts",2.95,88,"M",FALSE
"157","PS2","Shooter","Sony Computer Entertainment",2.94,87,"M",FALSE
"158","PS3","Action","Sony Computer Entertainment",2.93,85,"T",FALSE
"159","X360","Role-Playing","Microsoft Game Studios",2.91,91,"M",FALSE
"160","PS2","Misc","Sega",2.9,73,"E",FALSE
"161","PS2","Sports","Konami Digital Entertainment",2.9,93,"E",FALSE
"162","X360","Sports","Sega",2.89,67,"E10+",FALSE
"163","PS2","Sports","Sony Computer Entertainment",2.89,85,"E",FALSE
"164","PS2","Shooter","Activision",2.89,76,"T",FALSE
"165","X360","Sports","Electronic Arts",2.86,81,"E",TRUE
"166","XB","Role-Playing","Ubisoft",2.86,87,"T",FALSE
"167","X360","Sports","Electronic Arts",2.83,85,"E",TRUE
"168","X360","Shooter","Take-Two Interactive",2.83,96,"M",FALSE
"169","PS3","Action","Ubisoft",2.82,90,"M",FALSE
"170","PS3","Shooter","Electronic Arts",2.81,75,"M",FALSE
"171","PS2","Sports","Electronic Arts",2.79,89,"E",FALSE
"172","PS2","Platform","Sony Computer Entertainment",2.78,87,"T",FALSE
"173","PS3","Racing","Electronic Arts",2.78,89,"E10+",FALSE
"174","PC","Shooter","Electronic Arts",2.78,89,"M",FALSE
"175","PS2","Simulation","Electronic Arts",2.77,83,"T",FALSE
"176","PS3","Shooter","Sony Computer Entertainment",2.77,84,"M",FALSE
"177","X360","Action","THQ",2.76,84,"M",FALSE
"178","PS3","Fighting","Namco Bandai Games",2.75,79,"T",FALSE
"179","X360","Adventure","Take-Two Interactive",2.7,89,"M",FALSE
"180","X360","Shooter","Activision",2.7,82,"T",FALSE
"181","X360","Sports","Electronic Arts",2.69,78,"E",FALSE
"182","X360","Sports","Electronic Arts",2.69,84,"E",TRUE
"183","PS2","Racing","Electronic Arts",2.68,93,"T",FALSE
"184","PS2","Shooter","Activision",2.67,77,"T",FALSE
"185","XB","Role-Playing","Microsoft Game Studios",2.66,85,"M",FALSE
"186","X360","Misc","Activision",2.66,85,"T",TRUE
"187","PS2","Action","Ubisoft",2.65,89,"T",FALSE
"188","PS3","Racing","Electronic Arts",2.65,84,"E",FALSE
"189","PS2","Racing","Take-Two Interactive",2.63,78,"T",FALSE
"190","X360","Sports","Electronic Arts",2.63,80,"T",FALSE
"191","PS2","Sports","Sega",2.62,90,"E",FALSE
"192","X360","Strategy","Microsoft Game Studios",2.62,82,"T",FALSE
"193","X360","Sports","Take-Two Interactive",2.62,90,"E",FALSE
"194","X360","Sports","Electronic Arts",2.62,90,"E",FALSE
"195","X360","Shooter","Electronic Arts",2.61,74,"M",FALSE
"196","PS2","Action","Electronic Arts",2.61,71,"E",FALSE
"197","PS3","Action","Sony Computer Entertainment",2.6,91,"M",FALSE
"198","PS2","Sports","Electronic Arts",2.59,84,"E",FALSE
"199","PS3","Sports","Electronic Arts",2.58,87,"E",FALSE
